,uniqueid,lon,lat,event_date,cluster
454,315086397,78.6856,10.805,20140922,1
455,324634124,78.6856,10.805,20141122,1
456,325746835,78.6856,10.805,20141130,1
457,329723240,78.6856,10.805,20141228,1
458,293788968,78.6856,10.805,20140417,1
459,307954607,78.6856,10.805,20140803,1
460,287473969,78.6856,10.805,20140226,1
461,289118837,78.6856,10.805,20140311,1
462,286174647,78.6856,10.805,20140217,1
463,326929256,78.6856,10.805,20141130,1
464,320365822,78.6856,10.805,20141026,1
465,294144257,78.6856,10.805,20140420,1
466,284402576,78.6856,10.805,20140202,1
467,296540985,78.6856,10.805,20140508,1
468,296935334,78.6856,10.805,20140512,1
469,300221786,78.6856,10.805,20140606,1
470,299433828,78.6856,10.805,20140531,1
471,327056450,78.6856,10.805,20141208,1
472,319240134,78.6856,10.805,20141019,1
473,296687709,78.6856,10.805,20140509,1
474,295207325,78.6856,10.805,20140428,1
475,314448241,78.6856,10.805,20140917,1
476,317836334,78.6856,10.805,20141010,1
477,291500987,78.6856,10.805,20140330,1
478,292885596,78.6856,10.805,20140410,1
479,326352780,78.6856,10.805,20141203,1
480,290343648,78.6856,10.805,20140321,1
481,316923100,78.6856,10.805,20141004,1
482,289193972,78.6856,10.805,20140312,1
483,282594223,78.6856,10.805,20140111,1
484,299034138,78.6856,10.805,20140528,1
485,307307149,78.6856,10.805,20140729,1
486,310471390,78.6856,10.805,20140821,1
487,315930616,78.6856,10.805,20140927,1
488,309519678,78.6856,10.805,20140814,1
489,283954577,78.6856,10.805,20140129,1
490,305934907,78.6856,10.805,20140720,1
491,293951510,78.6856,10.805,20140418,1
492,307858599,78.6856,10.805,20140802,1
493,298261954,78.6856,10.805,20140522,1
494,318624119,78.6856,10.805,20141015,1
495,290991691,78.6856,10.805,20140326,1
496,285818361,78.6856,10.805,20140213,1
497,329630648,78.6856,10.805,20141227,1
498,328003987,78.6856,10.805,20141215,1
499,328561751,78.6856,10.805,20141218,1
500,287926585,78.6856,10.805,20140303,1
501,316063242,78.6833,10.8667,20140928,1
502,326496246,78.6833,10.8667,20141204,1
503,322466007,78.6833,10.8667,20141108,1
504,316363180,78.6833,10.8667,20140930,1
505,326225997,78.6833,10.8667,20141202,1
506,307744114,78.6833,10.8667,20140801,1
507,316549429,78.6833,10.8667,20141001,1
508,318427511,78.6833,10.8667,20141014,1
509,292688233,78.6833,10.8667,20140402,1
510,317818282,78.6833,10.8667,20141010,1
511,319176603,78.6833,10.8667,20141018,1
512,316218397,78.6833,10.8667,20140929,1
513,291721466,78.6833,10.8667,20140401,1
514,325900256,78.6833,10.8667,20141201,1
515,326377546,78.8333,10.8667,20141203,1
516,287822955,78.8333,10.8667,20140301,1
517,320671883,78.8333,10.8667,20141028,1
518,288425538,78.7333,10.8,20140306,1
519,287598585,79.15,10.8,20140227,1
520,316047907,79.15,10.8,20140928,1
521,309063332,79.15,10.8,20140811,1
522,289339507,79.15,10.8,20140313,1
523,301820720,79.15,10.8,20140619,1
524,308426047,79.15,10.8,20140806,1
525,307879443,79.15,10.8,20140802,1
526,310597199,79.15,10.8,20140822,1
527,318678424,79.15,10.8,20141015,1
528,321430143,79.15,10.8,20141102,1
529,310162276,79.15,10.8,20140819,1
530,329315656,79.15,10.8,20141223,1
531,323521398,79.15,10.8,20141115,1
532,290189734,79.15,10.8,20140320,1
533,295894104,79.15,10.8,20140503,0
534,302078727,79.15,10.8,20140621,1
535,307398724,79.15,10.8,20140730,1
536,288599946,79.15,10.8,20140307,1
537,284951040,79.15,10.8,20140206,1
538,324890426,79.15,10.8,20141124,1
539,304835370,79.15,10.8,20140712,1
540,324644092,79.15,10.8,20141122,1
541,287449109,79.15,10.8,20140226,1
542,304031865,79.15,10.8,20140707,1
543,322905503,79.15,10.8,20141111,1
544,321617053,79.15,10.8,20141103,1
545,325494488,79.15,10.8,20141127,1
546,321336164,79.15,10.8,20141101,1
547,318466970,79.15,10.8,20141014,1
548,293473956,79.15,10.8,20140415,1
549,324762325,79.15,10.8,20141123,1
550,284215561,79.15,10.8,20140131,1
551,314172608,79.15,10.8,20140817,1
552,318019713,79.15,10.8,20141011,1
553,285907695,79.15,10.8,20140214,1
554,305513071,79.15,10.8,20140717,1
555,326672234,79.15,10.8,20141205,1
556,290762169,79.15,10.8,20140324,1
557,310492199,79.15,10.8,20140821,1
558,288775629,79.15,10.8,20140309,1
559,285188592,79.15,10.8,20140208,1
560,284513766,79.8,10.9167,20140203,1
561,302747668,79.8,10.9167,20140626,1
562,294058390,79.8167,10.9167,20140419,1
563,293348001,79.8333,10.9167,20140414,1
564,292336786,79.8333,10.9167,20140406,1
565,322290551,79.8333,10.9167,20141107,1
566,288439997,79.8333,10.9167,20140306,1
567,315253201,79.8333,10.9167,20140923,1
568,327273115,79.8333,10.9167,20141209,1
569,329711063,79.8333,10.9167,20141228,1
570,288282789,79.8333,10.9167,20140305,1
571,304586961,79.8333,10.9167,20140711,1
572,282835841,79.8333,10.9167,20140113,1
573,283206456,79.8333,10.9167,20140116,1
574,286977981,79.8333,10.9167,20140222,1
575,322879058,79.8333,10.9167,20141111,1
576,285270627,79.8333,10.9167,20140209,1
577,312128937,79.8333,10.9167,20140902,1
578,288981101,79.8333,10.9167,20140310,1
579,305002779,79.8333,10.9167,20140714,1
580,329553676,79.8333,10.9167,20141226,1
581,307776327,79.8333,10.9167,20140801,1
582,284658533,79.8333,10.9167,20140204,1
583,289474195,79.8333,10.9167,20140314,1
584,316820162,79.8333,10.9167,20141003,1
585,327449330,79.8333,10.9167,20141210,1
586,315437025,79.8333,10.9167,20140924,1
587,312641210,76.8,10.9333,20140905,1
588,303738385,78.2333,10.9333,20140704,1
589,299161750,78.45,10.9333,20140529,1
590,317865012,78.7333,10.9333,20141010,1
591,287479621,78.7333,10.9333,20140226,1
592,303763874,76.9833,10.95,20140704,1
593,320070214,76.9833,10.95,20141024,1
594,317508756,76.9833,10.95,20141008,1
595,317134437,76.9833,10.95,20141006,1
596,284403396,76.9833,10.95,20140202,0
597,286053206,76.2167,10.9667,20140215,0
598,309085551,76.9,10.9667,20140811,1
599,307953025,76.9,10.9667,20140803,1
600,306412764,79.3833,10.9667,20140723,1
601,312990242,79.3833,10.9667,20140908,1
602,326672233,79.3833,10.9667,20141205,1
603,307949011,79.3833,10.9667,20140803,1
604,291923803,79.3833,10.9667,20140402,1
605,326873736,79.3833,10.9667,20141206,1
606,304656964,79.3833,10.9667,20140711,1
607,325519364,79.3833,10.9667,20141128,1
608,286666304,79.3833,10.9667,20140220,1
609,307398720,79.3833,10.9667,20140730,1
610,321241558,79.3833,10.9667,20141031,1
611,283389087,79.3833,10.9667,20140118,0
612,304835368,79.3833,10.9667,20140712,1
613,283501947,75.9167,10.9,20140122,0
614,297415437,75.9167,10.9,20140515,0
615,323776850,77.0667,10.9,20141117,1
616,287604724,77.0667,10.9,20140227,1
617,299349531,77.0667,10.9,20140530,1
618,323806719,78.5833,10.9,20141117,1
619,315970067,77.3,10.9833,20140927,1
620,321429314,77.3,10.9833,20141102,1
621,288882824,77.3,10.9833,20140310,4
622,293774019,77.3,10.9833,20140417,1
623,291640943,76.9614,10.9925,20140331,1
624,328938445,76.9614,10.9925,20141221,1
625,292270007,76.9614,10.9925,20140405,1
626,305058080,76.9614,10.9925,20140714,1
627,313663065,76.9614,10.9925,20140912,1
628,288790814,76.9614,10.9925,20140309,1
629,304031766,76.9614,10.9925,20140707,1
630,328883778,76.9614,10.9925,20141220,1
631,316178525,76.9614,10.9925,20140929,1
632,315952528,76.9614,10.9925,20140927,1
633,329540615,76.9614,10.9925,20141226,1
634,316041937,77.0667,11.0167,20140928,1
635,288776739,79.8528,11.0319,20140309,1
636,316072027,79.8528,11.0319,20140928,1
637,323347318,79.8528,11.0319,20141113,1
638,313002592,79.8528,11.0319,20140908,1
639,328370151,77.0,11.0333,20141217,1
640,325049560,77.0,11.0333,20141125,1
641,327089439,77.0,11.0333,20141208,1
642,328973963,77.0,11.0333,20141221,1
