uniqueid,lon,lat,event_start,p,literacyRate,workerPop_main,police_proximity,postal_proximity,hospital_proximity,university_proximity,college_proximity,school_proximity,police_density,postal_density,hospital_density,university_density,college_density,school_density
297209799,92,24,20140414,378230,0.752075849,0.179403833,0.303576969,0.810651799,0.421692738,0.45805413,0.436558599,0.298289734,0,0,0,0,0,0
297211521,94.9028,27.4817,20140507,1326335,0.555260666,0.182041339,0.130861647,0.042770087,0.122125193,0.084288248,0.002918944,0.132127113,0,0,0,0,0.25,0
297219117,93.0667,26.5833,20140514,2823768,0.480460599,0.084634914,0.106954653,0.37487053,0.272427653,0.062700976,0.405743376,0.45623071,0,0,0,0,0,0
297247332,93.4333,25.8333,20140514,956313,0.416999529,0.133047222,0.337231954,0.407677251,0.42543092,0.286869216,0.420721506,0.272598679,0,0,0,0,0,0
297279794,93.5,26,20140514,956313,0.416999529,0.133047222,0.264966482,0.378644089,0.380195123,0.258315026,0.387283231,0.274794427,0,0,0,0,0,0
297294335,94.2167,26.75,20140514,1092256,0.679377015,0.232271243,0,0.201983836,0.004653374,0.15759232,0,0.002986787,1,0,0.375,0,1,0.19047619
297363237,90.5568,26.4782,20140515,482162,0.301117716,0.194477603,0.492982862,0.762775678,0.412871346,0.059786422,0.445524063,0.493059304,0,0,0,0,0,0
297363238,90.2718,26.399,20140515,887142,0.335042213,0.184710061,0.601431683,0.810873964,0.503328429,0.018275487,0.537716072,0.597244609,0,0,0,0.2,0,0
297368648,91.7083,26.1667,20140515,1253938,0.812922813,0.29334266,0.017462296,0.605386089,0.012173823,0.161328886,0.019218999,0.020009208,0.333333333,0,0.375,0,0.25,0.142857143
297368733,93,23,20140515,161428,0.815820352,0.629513031,0.797728797,0.879494765,0.709516437,0.79780973,0.709145046,0.79252474,0,0,0,0,0,0
297369039,89.9949,26.4218,20140515,887142,0.335042213,0.184710061,0.713335488,0.853057345,0.601659574,0.074691174,0.636296181,0.707881197,0,0,0,0,0,0
297371506,96.7,28.1333,20140515,21167,0.156747708,0.889079712,0.416974589,0.25378331,0.315549463,0.423941733,0.451838324,0.297015547,0,0,0,0,0,0
297379746,92,24,20140515,378230,0.752075849,0.179403833,0.303576969,0.810651799,0.421692738,0.45805413,0.436558599,0.298289734,0,0,0,0,0,0
